uniqueid,TrumpApproveFlag,LikelyConsiderFlag,LeanConsiderFlag,LeanNotConsiderFlag,LikelyNotConsiderFlag,TurnoutTargetsFlag,onlineact,offlineact,cc,PotentialActivist,Turnout_Score
7263C836-1CED-43AB-9,1,0,0,0,0,1,1,NA,NA,0,0.5662934995489195
5FF62C59-9606-40DB-9,1,0,0,0,0,1,1,NA,NA,0,0.1951254263985902
3546D965-883F-4185-B,1,0,0,0,0,1,1,NA,NA,0,0.14691893011331558
188BA431-8FB7-4CD5-8,1,0,0,0,0,1,0,NA,NA,0,0.4230667082592845
28A6C910-42A7-4840-8,1,0,0,0,0,1,1,1,NA,0,0.9895090288482606
73799272-6808-4290-B,1,0,0,0,0,1,0,NA,NA,0,0.7769371881149709
81107608-2EB6-40B0-A,0,0,0,0,0,1,0,NA,NA,0,0.7996673439629376
198FFC6A-C756-4371-B,1,0,0,0,0,1,0,NA,NA,0,0.9480133703909814
3711E175-B019-4BE6-8,1,0,0,0,0,1,0,NA,NA,0,0.45148795063141733
5B33B802-FDC1-48BE-B,1,0,0,0,0,1,0,NA,NA,0,0.932896051555872
C7FF55F4-195A-4105-8,1,0,0,0,0,1,1,NA,NA,0,0.8678659510333091
84B6BF1F-3C2A-456C-9,1,0,0,0,0,1,0,1,NA,0,0.8310007620602846
045C454B-A053-4F83-8,1,0,0,0,0,1,0,NA,NA,0,0.6172226937487721
2CD59190-E1E4-4BCC-A,1,0,0,0,0,1,0,NA,NA,0,0.22731860540807247
91A6D3BD-D969-45B0-9,1,0,0,0,0,1,1,NA,NA,0,0.8731318609789014
3AF8E79E-F726-4801-8,1,0,0,0,0,1,0,NA,NA,0,0.4279721674975008
717EE3E7-388E-41CE-B,1,0,0,0,0,1,0,1,NA,0,0.7717907945625484
67BB70D3-F8E5-4502-A,1,0,0,0,0,1,0,NA,NA,0,0.057837676955386996
7671AE13-385F-48B5-9,0,0,0,0,0,1,1,NA,NA,0,0.540007226751186
719764ED-0542-43D1-8,1,0,0,0,0,1,0,1,NA,0,0.4171302969334647
CF4987ED-5B04-4EE9-B,1,0,0,0,0,1,0,NA,NA,0,0.8968512879218906
85A4F98C-0C06-48C5-9,1,0,0,0,0,1,0,NA,NA,0,0.6569201094098389
